date,ticker,p945
2026-07-23,BNS.TO,122.0800
2026-07-23,BMO.TO,249.7900
2026-07-23,CM.TO,164.3100
2026-07-23,ENB.TO,79.1000
2026-07-23,TRP.TO,97.6600
2026-07-23,CNQ.TO,65.7800
2026-07-23,SU.TO,92.7200
2026-07-23,CVE.TO,41.8200
2026-07-23,CP.TO,130.3400
2026-07-23,CNR.TO,183.9300
2026-07-23,SHOP.TO,162.7500
2026-07-23,ABX.TO,51.9500
2026-07-23,AEM.TO,202.9500
2026-07-23,NTR.TO,97.0700
2026-07-23,MFC.TO,60.3600
2026-07-23,SLF.TO,114.1600
2026-07-23,BCE.TO,30.0700
2026-07-23,T.TO,14.2700
2026-07-24,AC.TO,22.7400
2026-07-24,RY.TO,293.5900
2026-07-24,TD.TO,167.9600
2026-07-24,BNS.TO,122.5100
2026-07-24,BMO.TO,249.7400
2026-07-24,CM.TO,164.5000
2026-07-24,ENB.TO,80.0200
2026-07-24,TRP.TO,99.5000
2026-07-24,CNQ.TO,66.4200
2026-07-24,SU.TO,93.6400
2026-07-24,CVE.TO,42.0000
2026-07-24,CP.TO,129.9000
2026-07-24,CNR.TO,183.2100
2026-07-24,SHOP.TO,157.6500
2026-07-24,ABX.TO,52.5900
2026-07-24,AEM.TO,204.5000
2026-07-24,NTR.TO,96.3500
2026-07-24,MFC.TO,60.8900
2026-07-24,SLF.TO,115.4300
2026-07-24,BCE.TO,29.9100
2026-07-24,T.TO,14.2800
2026-07-27,AC.TO,24.2600
2026-07-27,RY.TO,295.3700
2026-07-27,TD.TO,169.8700
2026-07-27,BNS.TO,123.3400
2026-07-27,BMO.TO,252.5400
2026-07-27,CM.TO,167.4400
2026-07-27,ENB.TO,79.2800
2026-07-27,TRP.TO,98.1100
2026-07-27,CNQ.TO,64.2000
2026-07-27,SU.TO,90.8800
2026-07-27,CVE.TO,40.2000
2026-07-27,CP.TO,130.2600
2026-07-27,CNR.TO,182.8700
2026-07-27,SHOP.TO,171.5000
2026-07-27,ABX.TO,52.8300
2026-07-27,AEM.TO,207.2100
2026-07-27,NTR.TO,94.3500
2026-07-27,MFC.TO,61.9700
2026-07-27,SLF.TO,116.5800
2026-07-27,BCE.TO,30.2000
2026-07-27,T.TO,14.5900
2026-07-28,AC.TO,24.8700
2026-07-28,RY.TO,293.2500
2026-07-28,TD.TO,167.4000
2026-07-28,BNS.TO,121.9400
2026-07-28,BMO.TO,249.8700
2026-07-28,CM.TO,164.9400
2026-07-28,ENB.TO,78.3500
2026-07-28,TRP.TO,96.1900
2026-07-28,CNQ.TO,63.2200
2026-07-28,SU.TO,90.3000
2026-07-28,CVE.TO,39.3900
2026-07-28,CP.TO,129.2900
2026-07-28,CNR.TO,182.5400
2026-07-28,SHOP.TO,181.4500
2026-07-28,ABX.TO,51.2400
2026-07-28,AEM.TO,200.3100
2026-07-28,NTR.TO,96.3700
2026-07-28,MFC.TO,61.9500
2026-07-28,SLF.TO,117.5300
2026-07-28,BCE.TO,30.5800
2026-07-28,T.TO,14.9500
2026-07-29,AC.TO,25.3000
2026-07-29,RY.TO,296.6700
2026-07-29,TD.TO,167.8700
2026-07-29,BNS.TO,123.3250
2026-07-29,BMO.TO,251.8200
2026-07-29,CM.TO,167.4000
2026-07-29,ENB.TO,78.3600
2026-07-29,TRP.TO,95.7700
2026-07-29,CNQ.TO,64.1800
2026-07-29,SU.TO,92.0900
2026-07-29,CVE.TO,40.9000
2026-07-29,CP.TO,128.3850
2026-07-29,CNR.TO,182.0500
2026-07-29,SHOP.TO,183.4200
2026-07-29,ABX.TO,50.8100
2026-07-29,AEM.TO,200.0800
2026-07-29,NTR.TO,98.3800
2026-07-29,MFC.TO,62.4000
2026-07-29,SLF.TO,117.1800
2026-07-29,BCE.TO,30.9100
2026-07-29,T.TO,15.1900
2026-07-30,AC.TO,25.7000
2026-07-30,RY.TO,293.1900
2026-07-30,TD.TO,166.2000
2026-07-30,BNS.TO,122.3500
2026-07-30,BMO.TO,248.5500
2026-07-30,CM.TO,165.5600
2026-07-30,ENB.TO,77.4700
2026-07-30,TRP.TO,95.6300
2026-07-30,CNQ.TO,64.8100
2026-07-30,SU.TO,91.7500
2026-07-30,CVE.TO,40.9200
2026-07-30,CP.TO,127.7100
2026-07-30,CNR.TO,181.4500
2026-07-30,SHOP.TO,175.7700
2026-07-30,ABX.TO,51.5600
2026-07-30,AEM.TO,205.6500
2026-07-30,NTR.TO,98.1200
2026-07-30,MFC.TO,62.3600
2026-07-30,SLF.TO,116.3900
2026-07-30,BCE.TO,30.9900
2026-07-30,T.TO,15.4500
2026-07-31,AC.TO,26.0000
2026-07-31,RY.TO,295.6100
2026-07-31,TD.TO,168.6500
2026-07-31,BNS.TO,123.6300
2026-07-31,BMO.TO,251.7800
2026-07-31,CM.TO,166.9200
2026-07-31,ENB.TO,77.3400
2026-07-31,TRP.TO,95.2150
2026-07-31,CNQ.TO,66.7700
2026-07-31,SU.TO,94.0900
2026-07-31,CVE.TO,42.4950
2026-07-31,CP.TO,124.2000
2026-07-31,CNR.TO,179.2300
2026-07-31,SHOP.TO,170.2800
2026-07-31,ABX.TO,51.5500
2026-07-31,AEM.TO,203.7000
2026-07-31,NTR.TO,97.8200
2026-07-31,MFC.TO,62.9000
2026-07-31,SLF.TO,116.8600
2026-07-31,BCE.TO,30.0800
2026-07-31,T.TO,13.0200
2026-08-04,AC.TO,26.6000
2026-08-04,RY.TO,295.5700
2026-08-04,TD.TO,170.2500
2026-08-04,BNS.TO,123.7000
2026-08-04,BMO.TO,254.1600
2026-08-04,CM.TO,167.9300
2026-08-04,ENB.TO,75.0600
