Code,Name,Type,Currency,Isin
COA,Coastal Contacts Inc (COA.TO,Common Stock,CAD,
COG,Condor Gold Plc,Common Stock,CAD,GB00B8225591
COM,Cardiome Pharma Corp,Common Stock,CAD,
CONA,Cona Resources Ltd,Common Stock,CAD,
COP,Marimaca Copper Corp,Common Stock,CAD,CA2196361075
CORP,Exemplar Investment Grade Fund ETF units,ETF,CAD,CA30170G1054
CORV,Correvio Pharma Corp,Common Stock,CAD,CA22026V1058
COW-A,iShares Global Agriculture Index ETF,ETF,CAD,
CPD-A,ISHARES SP TSX CDN PREF IDX ETF,ETF,CAD,
CPG,Crescent Point Energy Corp.,Common Stock,CAD,CA22576C1014
CPI,Condor Petroleum Inc,Common Stock,CAD,CA20676X3067
CPLF,Copperleaf Technologies Inc,Common Stock,CAD,CA21766N1096
CPX-PG,Capital Power Corporation,Common Stock,CAD,
CPX-PI,Capital Power Corp Pref,Common Stock,CAD,CA14042M8622
CPX-PK,Capital Power Corp,Common Stock,CAD,CA14042M8473
CQE,Cequence Energy Ltd,Common Stock,CAD,
CR,Crew Energy Inc,Common Stock,CAD,CA2265331074
CRH,CRH Medical Corporation,Common Stock,CAD,CA12626F1053
CRK,Crocodile Gold Corp,Common Stock,CAD,
CRP,Ceres Global Ag Corp,Common Stock,CAD,CA1567701091
CRQ,iShares Canadian Fundamental Comm,ETF,CAD,
CRQ-A,ISHARES CAD FUNDAMENTAL INDEX E,ETF,CAD,
CRR-DBE,CROMBIE REIT 5.25 PCT DEBS SER,FUND,CAD,
CRYP,Purpose Crypto Opportunities ETF - ETF Units,ETF,CAD,CA74643R1082
CSA,Commercial Solutions Inc (CSA.TO,Common Stock,CAD,
CSD,iShares Short Duration High Income ETF (CAD-Hedged) Common Class,ETF,CAD,CA46430G4043
CSD-A,ISHARES ADV SHRT DUR HI INC AC,ETF,CAD,
CSI,Colossus Minerals Inc (CSI.TO,Common Stock,CAD,
CSM,ClearStream Energy Services Inc,Common Stock,CAD,CA18506V1022
CSU-DB,CONSTELLATION SOFTWARE INC DEBS,FUND,CAD,
CSX,Clean Seed Capital Group Ltd,Common Stock,CAD,
CSY,CI Core Canadian Equity Income Class ETF,ETF,CAD,CA17163X2032
