kind,cik,date,name,sic,accession,ticker
APPROVAL,1082554,2019-10-21,UNITED THERAPEUTICS Corp  (UTHR),2834,0001104659-19-055064,UTHR
APPROVAL,1710340,2019-10-22,"Eton Pharmaceuticals, Inc.  (ETON)",2834,0001493152-19-015787,ETON
APPROVAL,818033,2019-10-22,"HERON THERAPEUTICS, INC. /DE/  (HRTX)",2834,0001564590-19-037287,HRTX
APPROVAL,1461993,2019-10-24,"MELINTA THERAPEUTICS, INC. /NEW/",2834,0001461993-19-000047,
APPROVAL,310158,2019-10-29,"Merck & Co., Inc.  (MRK)",2834,0001104659-19-057074,MRK
APPROVAL,914475,2019-11-04,NEUROCRINE BIOSCIENCES INC  (NBIX),2836,0001564590-19-039789,NBIX
APPROVAL,1578845,2019-11-05,Allergan plc,2834,0001104659-19-059814,
APPROVAL,1023024,2019-11-06,ANI PHARMACEUTICALS INC  (ANIP),2834,0001104659-19-060284,ANIP
APPROVAL,1280600,2019-11-08,ACCELERON PHARMA INC,2836,0001280600-19-000055,
CRL,1535955,2019-11-12,Lipocine Inc.  (LPCN),2834,0001104659-19-061976,LPCN
APPROVAL,1561743,2019-11-12,"Kindred Biosciences, Inc.",2834,0001561743-19-000061,
APPROVAL,1606645,2019-11-12,Foamix Pharmaceuticals Ltd.,2833,0001178913-19-002664,
APPROVAL,1659617,2019-11-12,"Moleculin Biotech, Inc.  (MBRX)",2834,0001659617-19-000173,MBRX
APPROVAL,1398733,2019-11-25,"Aquestive Therapeutics, Inc.  (AQST)",2834,0001140361-19-021280,AQST
CRL,887247,2019-11-25,Adamis Pharmaceuticals Corp  (DMKPQ),2834,0001387131-19-008996,
APPROVAL,873303,2019-12-13,"Sarepta Therapeutics, Inc.  (SRPT)",2834,0001564590-19-045957,SRPT
APPROVAL,1012477,2019-12-16,AVADEL PHARMACEUTICALS PLC  (AVDL),2834,0001104659-19-072792,
APPROVAL,1567514,2019-12-23,"Intra-Cellular Therapies, Inc.  (ITCI)",2834,0001193125-19-321816,
